30/3/2020 21:35:35 Se conecto con ip:169.57.142.76 SE: 1519427592
30/3/2020 21:36:58 Agarro:1 Objeto:Túnica Perseus (Bajo/as)
30/3/2020 22:22:40 /TELEPLOC a x:57 Y:69 Map:166
30/3/2020 22:22:40 /TELEPLOC a x:57 Y:69 Map:166
30/3/2020 22:22:42 /TELEPLOC a x:58 Y:65 Map:166
30/3/2020 22:22:43 /TELEPLOC a x:60 Y:62 Map:166
30/3/2020 22:22:44 /TELEPLOC a x:59 Y:60 Map:166
30/3/2020 22:22:44 /TELEPLOC a x:58 Y:58 Map:166
30/3/2020 22:22:44 /TELEPLOC a x:59 Y:55 Map:166
30/3/2020 22:22:45 /TELEPLOC a x:59 Y:55 Map:166
30/3/2020 22:22:45 /TELEPLOC a x:61 Y:53 Map:166
30/3/2020 22:22:46 /TELEPLOC a x:62 Y:53 Map:166
30/3/2020 22:22:56 /TELEPLOC a x:59 Y:53 Map:166
30/3/2020 22:22:57 /TELEPLOC a x:57 Y:53 Map:166
30/3/2020 22:22:58 /TELEPLOC a x:56 Y:56 Map:166
30/3/2020 22:22:59 /TELEPLOC a x:56 Y:59 Map:166
30/3/2020 22:22:59 /TELEPLOC a x:56 Y:62 Map:166
30/3/2020 22:23:00 /TELEPLOC a x:56 Y:65 Map:166
30/3/2020 22:23:01 /TELEPLOC a x:56 Y:68 Map:166
30/3/2020 22:23:02 /TELEPLOC a x:52 Y:69 Map:166
30/3/2020 22:23:02 /TELEPLOC a x:48 Y:69 Map:166
30/3/2020 22:23:02 /TELEPLOC a x:45 Y:73 Map:166
30/3/2020 22:23:03 /TELEPLOC a x:46 Y:73 Map:166
30/3/2020 22:23:04 /TELEPLOC a x:44 Y:72 Map:166
30/3/2020 22:23:06 /TELEPLOC a x:47 Y:72 Map:166
30/3/2020 22:23:07 /TELEPLOC a x:50 Y:72 Map:166
30/3/2020 22:23:07 /TELEPLOC a x:53 Y:72 Map:166
30/3/2020 22:23:08 /TELEPLOC a x:56 Y:72 Map:166
30/3/2020 22:23:09 /TELEPLOC a x:58 Y:70 Map:166
30/3/2020 22:23:09 /TELEPLOC a x:60 Y:68 Map:166
30/3/2020 22:23:10 /TELEPLOC a x:63 Y:65 Map:166
30/3/2020 22:23:11 /TELEPLOC a x:64 Y:62 Map:166
30/3/2020 22:23:11 /TELEPLOC a x:63 Y:59 Map:166
30/3/2020 22:23:12 /TELEPLOC a x:62 Y:57 Map:166
30/3/2020 22:23:13 /TELEPLOC a x:61 Y:55 Map:166
30/3/2020 22:23:13 /TELEPLOC a x:61 Y:55 Map:166
30/3/2020 22:23:13 /TELEPLOC a x:57 Y:54 Map:166
