5/12/2020 7:28:46 PM /TELEPLOC a x:82 Y:27 Map:34
5/12/2020 7:28:47 PM /TELEPLOC a x:82 Y:22 Map:34
5/12/2020 7:28:48 PM /TELEPLOC a x:76 Y:20 Map:34
5/12/2020 7:29:02 PM /TELEPLOC a x:54 Y:49 Map:34
5/12/2020 7:29:02 PM /TELEPLOC a x:60 Y:45 Map:34
5/12/2020 7:29:03 PM /TELEPLOC a x:66 Y:42 Map:34
5/12/2020 7:29:04 PM /TELEPLOC a x:72 Y:39 Map:34
5/12/2020 7:29:05 PM /TELEPLOC a x:78 Y:36 Map:34
5/12/2020 7:29:06 PM /TELEPLOC a x:81 Y:33 Map:34
5/12/2020 7:29:07 PM /TELEPLOC a x:79 Y:28 Map:34
5/12/2020 7:29:07 PM /TELEPLOC a x:76 Y:25 Map:34
5/12/2020 7:29:08 PM /TELEPLOC a x:76 Y:21 Map:34
5/12/2020 7:29:09 PM /TELEPLOC a x:76 Y:19 Map:34
5/12/2020 7:29:28 PM /TELEPLOC a x:44 Y:54 Map:110
5/12/2020 7:29:42 PM /TELEPLOC a x:37 Y:52 Map:110
5/12/2020 7:29:59 PM /TELEPLOC a x:32 Y:53 Map:110
5/12/2020 7:30:01 PM /TELEPLOC a x:27 Y:54 Map:110
5/12/2020 7:30:06 PM /TELEPLOC a x:55 Y:45 Map:34
5/12/2020 7:30:07 PM /TELEPLOC a x:60 Y:39 Map:34
5/12/2020 7:30:08 PM /TELEPLOC a x:65 Y:34 Map:34
5/12/2020 7:30:09 PM /TELEPLOC a x:70 Y:29 Map:34
5/12/2020 7:30:11 PM /TELEPLOC a x:75 Y:25 Map:34
5/12/2020 7:30:12 PM /TELEPLOC a x:80 Y:21 Map:34
5/12/2020 7:30:20 PM /TELEPLOC a x:81 Y:18 Map:34
5/12/2020 7:30:24 PM /TELEPLOC a x:78 Y:23 Map:34
5/12/2020 7:30:29 PM /TELEPLOC a x:71 Y:25 Map:34
5/12/2020 7:31:01 PM /TELEPLOC a x:68 Y:21 Map:34
5/12/2020 7:31:02 PM /TELEPLOC a x:68 Y:17 Map:34
5/12/2020 7:31:08 PM /TELEPLOC a x:61 Y:14 Map:34
5/12/2020 7:31:09 PM /TELEPLOC a x:57 Y:17 Map:34
5/12/2020 7:31:10 PM /TELEPLOC a x:50 Y:20 Map:34
5/12/2020 7:31:12 PM /TELEPLOC a x:43 Y:19 Map:34
5/12/2020 7:31:13 PM /TELEPLOC a x:43 Y:18 Map:34
5/12/2020 7:31:49 PM /TELEPLOC a x:45 Y:46 Map:34
5/12/2020 7:31:50 PM /TELEPLOC a x:41 Y:42 Map:34
5/12/2020 7:31:51 PM /TELEPLOC a x:37 Y:38 Map:34
5/12/2020 7:31:53 PM /TELEPLOC a x:36 Y:34 Map:34
5/12/2020 7:31:53 PM /TELEPLOC a x:35 Y:30 Map:34
5/12/2020 7:31:55 PM /TELEPLOC a x:35 Y:26 Map:34
5/12/2020 7:31:56 PM /TELEPLOC a x:35 Y:22 Map:34
5/12/2020 7:31:58 PM /TELEPLOC a x:42 Y:20 Map:34
5/12/2020 7:32:51 PM /TELEPLOC a x:47 Y:48 Map:34
5/12/2020 7:32:52 PM /TELEPLOC a x:42 Y:45 Map:34
5/12/2020 7:32:53 PM /TELEPLOC a x:37 Y:41 Map:34
5/12/2020 7:32:54 PM /TELEPLOC a x:36 Y:44 Map:34
5/12/2020 7:32:55 PM /TELEPLOC a x:36 Y:47 Map:34
5/12/2020 7:32:57 PM /TELEPLOC a x:34 Y:44 Map:34
5/12/2020 7:32:58 PM /TELEPLOC a x:34 Y:39 Map:34
5/12/2020 7:33:00 PM /TELEPLOC a x:35 Y:34 Map:34
5/12/2020 7:33:01 PM /TELEPLOC a x:34 Y:30 Map:34
